#date,new_cases,new_deaths,total_cases,total_deaths,weekly_cases,weekly_deaths,biweekly_cases,biweekly_deaths
2021-06-01,3102.0,0.0,4506333.0,128045.0,23156.0,44.0,40113.0,92.0
2021-06-02,4264.0,12.0,4510597.0,128057.0,24429.0,47.0,42231.0,101.0
2021-06-03,5181.0,18.0,4515778.0,128075.0,26226.0,55.0,44713.0,112.0
2021-06-04,6144.0,11.0,4521922.0,128086.0,28340.0,56.0,48149.0,114.0
2021-06-05,5655.0,13.0,4527577.0,128099.0,30754.0,62.0,51280.0,121.0
2021-06-06,5225.0,4.0,4532802.0,128103.0,32865.0,60.0,54412.0,120.0
2021-06-07,5597.0,1.0,4538399.0,128104.0,35168.0,59.0,57639.0,118.0
2021-06-08,5973.0,14.0,4544372.0,128118.0,38039.0,73.0,61195.0,117.0
2021-06-09,7322.0,6.0,4551694.0,128124.0,41097.0,67.0,65526.0,114.0
2021-06-10,7239.0,7.0,4558933.0,128131.0,43155.0,56.0,69381.0,111.0
2021-06-11,7960.0,17.0,4566893.0,128148.0,44971.0,62.0,73311.0,118.0
2021-06-12,7552.0,12.0,4574445.0,128160.0,46868.0,61.0,77622.0,123.0
2021-06-13,7334.0,8.0,4581779.0,128168.0,48977.0,65.0,81842.0,125.0
2021-06-14,7621.0,3.0,4589400.0,128171.0,51001.0,67.0,86169.0,126.0
2021-06-15,7594.0,10.0,4596994.0,128181.0,52622.0,63.0,90661.0,136.0
2021-06-16,8811.0,9.0,4605805.0,128190.0,54111.0,66.0,95208.0,133.0
2021-06-17,10823.0,19.0,4616628.0,128209.0,57695.0,78.0,100850.0,134.0
2021-06-18,10287.0,11.0,4626915.0,128220.0,60022.0,72.0,104993.0,134.0
2021-06-19,10076.0,14.0,4636991.0,128234.0,62546.0,74.0,109414.0,135.0
2021-06-20,9077.0,6.0,4646068.0,128240.0,64289.0,72.0,113266.0,137.0
2021-06-21,10468.0,5.0,4656536.0,128245.0,67136.0,74.0,118137.0,141.0
2021-06-22,11507.0,27.0,4668043.0,128272.0,71049.0,91.0,123671.0,154.0
2021-06-23,15943.0,19.0,4683986.0,128291.0,78181.0,101.0,132292.0,167.0
2021-06-24,16705.0,21.0,4700691.0,128312.0,84063.0,103.0,141758.0,181.0
2021-06-25,15374.0,18.0,4716065.0,128330.0,89150.0,110.0,149172.0,182.0
2021-06-26,17946.0,23.0,4734011.0,128353.0,97020.0,119.0,159566.0,193.0
2021-06-27,14633.0,11.0,4748644.0,128364.0,102576.0,124.0,166865.0,196.0
2021-06-28,22723.0,3.0,4771367.0,128367.0,114831.0,122.0,181967.0,196.0
2021-06-29,20261.0,23.0,4791628.0,128390.0,123585.0,118.0,194634.0,209.0
2021-06-30,25670.0,14.0,4817298.0,128404.0,133312.0,113.0,211493.0,214.0
2021-07-01,27646.0,22.0,4844944.0,128426.0,144253.0,114.0,228316.0,217.0
2021-07-02,26863.0,27.0,4871807.0,128453.0,155742.0,123.0,244892.0,233.0
2021-07-03,24465.0,18.0,4896272.0,128471.0,162261.0,118.0,259281.0,237.0
2021-07-04,23896.0,15.0,4920168.0,128486.0,171524.0,122.0,274100.0,246.0
2021-07-05,27106.0,9.0,4947274.0,128495.0,175907.0,128.0,290738.0,250.0
2021-07-06,28629.0,37.0,4975903.0,128532.0,184275.0,142.0,307860.0,260.0
2021-07-07,32061.0,33.0,5007964.0,128565.0,190666.0,161.0,323978.0,274.0
2021-07-08,32096.0,36.0,5040060.0,128601.0,195116.0,175.0,339369.0,289.0
2021-07-09,35885.0,30.0,5075945.0,128631.0,204138.0,178.0,359880.0,301.0
2021-07-10,31835.0,34.0,5107780.0,128665.0,211508.0,194.0,373769.0,312.0
2021-07-11,31382.0,26.0,5139162.0,128691.0,218994.0,205.0,390518.0,327.0
2021-07-12,34810.0,6.0,5173972.0,128697.0,226698.0,202.0,402605.0,330.0
2021-07-13,36500.0,50.0,5210472.0,128747.0,234569.0,215.0,418844.0,357.0
2021-07-14,42183.0,50.0,5252655.0,128797.0,244691.0,232.0,435357.0,393.0
2021-07-15,48641.0,67.0,5301296.0,128864.0,261236.0,263.0,456352.0,438.0
2021-07-16,51949.0,49.0,5353245.0,128913.0,277300.0,282.0,481438.0,460.0
2021-07-17,54183.0,47.0,5407428.0,128960.0,299648.0,295.0,511156.0,489.0
2021-07-18,47848.0,28.0,5455276.0,128988.0,316114.0,297.0,535108.0,502.0
2021-07-19,40671.0,19.0,5495947.0,129007.0,321975.0,310.0,548673.0,512.0
